"","X","ï..FIPS","State","County","PCT_LACCESS_POP15","GROCPTH14","SNAPSPTH16","FFRPTH14","FSRPTH14","PCT_SNAP16","METRO13","MEDHHINC15","POVRATE15","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS13","X2010.Census.Population","POV_QUARTILE"
"1",923,20069,"KS","Gray",45.41797466,0.328839198,0.82863772,0.164419599,0.493258796,8.597012543,0,64284,8.3,9.3,36,6006,1
"2",1999,38017,"ND","Cass",13.95735438,0.143708272,0.490254818,0.688602138,0.65267507,7.195442455,1,55946,10.7,7,29.1,149778,1
"3",2588,48129,"TX","Donley",15.60278768,0.282246684,1.468428781,1.128986734,0.846740051,13.51433657,0,36862,20.2,11.1,27.6,3677,1
"4",2266,42043,"PA","Dauphin",32.01334452,0.213664981,0.88811515,0.806769496,0.817821133,14.55564736,1,54198,13.6,11.9,32.5,268100,1
"5",327,12013,"FL","Calhoun",18.02309166,0.275254611,0.693337031,0.481695568,0.550509221,15.6503653,0,36062,22.2,15.5,39.4,14625,1
"6",2119,39151,"OH","Stark",28.82278792,0.165009475,0.752563265,0.841016033,0.662699342,13.7918164,1,48976,13.4,12.9,30.7,375586,1
"7",1537,29107,"MO","Lafayette",16.78184664,0.275330396,0.733235228,0.550660793,0.856583456,12.8651075,1,50325,12.2,11.9,29.1,33381,1
"8",603,17015,"IL","Carroll",18.72604886,0.203873598,0.848293097,0.679578661,0.88345226,14.36481192,0,50432,10.7,12.2,28.6,15387,1
"9",600,17009,"IL","Brown",23.96799448,0.292740047,0.591540964,0.43911007,0.292740047,14.36481192,0,53516,16.7,8.2,27.6,6937,1
"10",1175,22123,"LA","West Carroll",4.866955085,0.433839479,1.439625697,0.780911063,0,19.48120605,0,35484,22.7,15.5,36,11604,1
"11",208,6043,"CA","Mariposa",17.49940749,0.565546884,0.631820793,0.452437507,0.735210949,10.96172519,0,44595,15.2,10.7,24.4,18251,1
"12",653,17115,"IL","Macon",26.91715147,0.147669589,0.965118098,0.581449008,0.756806645,14.36481192,1,48302,18.2,10,29.7,110768,1
"13",322,12003,"FL","Baker",33.12709885,0.147639612,1.258784646,0.590558447,0.479828738,15.6503653,1,50883,16.8,13,35.8,27115,1
"14",442,13111,"GA","Fannin",1.108004856,0.378899507,0.739625167,0.841998905,1.052498632,16.41494763,0,39796,17.4,12.2,25.9,23682,1
"15",2036,38091,"ND","Steele",87.7559798,1.534526854,0.509683996,0,1.023017903,7.195442455,0,61352,7.8,11.4,30.2,1975,1
"16",139,5055,"AR","Greene",22.85735487,0.114432187,0.878215765,0.64082025,0.503501625,13.64746166,0,43996,17.1,12.9,31.2,42090,1
"17",1790,34031,"NJ","Passaic",13.23745047,0.481472165,0.971397822,0.650478721,0.752668731,9.742132261,1,55723,17.3,8.3,25.7,501226,1
"18",1965,37149,"NC","Polk",0.353169717,0.147369455,0.995868988,0.442108366,0.933339883,15.44057095,0,45672,13.5,13.1,27.3,20510,1
"19",2187,40111,"OK","Okmulgee",22.57753142,0.204629748,0.843682792,0.562731807,0.409259496,15.51297406,1,39825,22.5,12.5,38,40069,1
"20",2766,48485,"TX","Wichita",36.98982944,0.158664199,0.705411186,0.732877489,0.732877489,13.51433657,1,45430,18.9,12.3,31.1,131500,1
"21",1079,21171,"KY","Monroe",3.478096105,0.467115097,1.700037779,1.027653214,0.653961136,14.4939772,0,31603,25.3,13.3,29.9,10963,1
"22",1974,37167,"NC","Stanly",5.571893423,0.247524752,0.86361468,0.726072607,0.742574257,15.44057095,0,44878,17.1,12.1,30,60585,1
"23",872,19165,"IA","Shelby",26.15210325,0.334784064,0.621468927,0.502176096,0.585872112,12.08335234,0,54614,9.2,11,29.4,12167,1
"24",994,21001,"KY","Adair",9.259422345,0.260362424,1.00708852,0.312434909,0.572797334,14.4939772,0,32007,27.2,15.1,34.3,18656,1
"25",2504,47151,"TN","Scott",3.55113877,0.136444263,1.234033505,0.591258471,0.318369946,16.30435077,0,33254,25.5,13.4,28.9,22228,1
"26",2687,48327,"TX","Menard",20.18120536,0.465766185,0.942063118,0.465766185,0.931532371,13.51433657,0,34308,20.8,12.9,27.3,2242,1
"27",3028,54069,"WV","Ohio",25.35150422,0.276957164,0.889861072,1.038589365,0.969350074,19.421201,1,46315,14,12.2,31.4,7695,1
"28",1946,37111,"NC","McDowell",4.279722482,0.177916157,1.146237752,0.62270655,0.444790393,15.44057095,0,37430,18.8,14.2,30.9,44996,1
"29",1739,31169,"NE","Thayer",17.36663208,0.764818356,1.045546625,0.191204589,1.912045889,9.12645062,0,48947,10.2,10.2,30.2,5228,1
"30",2888,51141,"VA","Patrick",9.422604729,0.109505037,1.190276925,0.328515112,0.38326763,9.731570193,0,37360,17,12.5,30.9,18490,1
"31",1395,27161,"MN","Waseca",29.8094543,0.157687254,0.57285883,0.525624179,0.578186597,8.677720386,0,54495,9.9,6.8,33.7,19136,1
"32",1073,21159,"KY","Martin",0.039080873,0.239291697,1.673332222,0.638111191,0.159527798,14.4939772,0,29198,40,13.9,39.3,12929,1
"33",387,12133,"FL","Washington",41.33119451,0.122694368,0.949706269,0.695268087,0.449879351,15.6503653,0,36328,24.8,12.9,38.5,24896,1
"34",458,13143,"GA","Haralson",5.184265872,0.139659928,1.127677157,0.663384658,0.628469676,16.41494763,1,41167,19.2,11.2,27.3,28780,1
"35",954,20131,"KS","Nemaha",13.90659394,0.492707923,0.650978095,0.295624754,1.281040599,8.597012543,0,54486,8.8,8.9,30.4,10178,1
"36",253,8015,"CO","Chaffee",10.01079285,0.381201329,0.773953196,0.925774656,2.23275064,8.549519948,0,50947,11.7,6.4,20.5,17809,1
"37",593,16083,"ID","Twin Falls",6.205942767,0.210099612,0.727422947,0.778604444,0.70445164,10.90800528,0,45799,14.6,8.7,27.6,77230,1
"38",2954,51840,"VA","Winchester",16.46353045,0.326761791,1.202330765,1.670115819,2.287332535,9.731570193,1,47679,17.8,8.9,26.7,18728,1
"39",656,17121,"IL","Marion",27.25698339,0.103704856,1.020363573,0.622229136,0.700007778,14.36481192,0,43018,18,10.5,33.5,39437,1
"40",2743,48439,"TX","Tarrant",25.63262158,0.122342394,0.624357917,0.757700374,0.613254102,13.51433657,1,60735,13.1,11,29.1,1809034,1
"41",1597,29229,"MO","Wright",12.20550069,0.273358482,1.002588501,0.492045268,0.546716965,12.8651075,0,32634,24.1,10.7,31.4,18815,1
"42",175,5127,"AR","Scott",17.2959815,0.187038249,1.248743148,0.374076499,0.467595623,13.64746166,0,36028,20.8,11.4,32.5,11233,1
"43",2939,51700,"VA","Newport News",22.55357412,0.174896838,0.942756313,0.836225508,0.819828929,9.731570193,1,48127,16.8,12.7,32.3,242803,1
"44",1150,22073,"LA","Ouachita",30.150975,0.127938589,0.927913638,0.72924996,0.652486806,19.48120605,1,38453,23,11.8,35.7,153720,1
"45",2477,47097,"TN","Lauderdale",8.617952581,0.182601709,1.108081525,0.292162735,0.219122051,16.30435077,0,34715,26.2,15.4,38.3,27815,1
"46",2155,40047,"OK","Garfield",16.70786399,0.190201455,1.032964341,0.681555214,0.570604365,15.51297406,0,49070,14.5,9.8,36.7,60580,1
"47",479,13185,"GA","Lowndes",24.62406026,0.114514239,1.166090891,0.960157853,0.757555738,16.41494763,1,37699,26.5,11.6,31.3,109233,1
"48",385,12129,"FL","Wakulla",1.259731886,0.127258844,0.943258186,0.318147111,0.668108934,15.6503653,1,48703,16.5,11.7,36.4,30776,1
"49",2419,46115,"SD","Spink",43.5972276,0.303122158,0.830737279,0.454683237,0.454683237,11.06436622,0,46504,12.1,9.9,31.4,6415,1
"50",2726,48405,"TX","San Augustine",4.50249492,0.348432056,0.961538462,0.116144019,0.232288037,13.51433657,0,33156,24.3,13.7,32.3,8865,1
"51",694,17197,"IL","Will",32.13050392,0.148814083,0.502516935,0.695924683,0.477080443,14.36481192,1,76293,8,8.5,28,677560,1
"52",1008,21029,"KY","Bullitt",32.62574816,0.064139568,0.680134595,0.500288628,0.256558271,14.4939772,1,54755,9.6,13.2,32.8,74319,1
"53",2764,48481,"TX","Wharton",15.58246348,0.170034979,0.9444511,0.777302759,0.558686358,13.51433657,0,45198,17.2,10.2,31.9,41280,1
"54",2738,48429,"TX","Stephens",22.78369367,0.106326422,1.177737398,0.850611377,0.956937799,13.51433657,0,45410,18.2,10,27,9630,1
"55",931,20085,"KS","Jackson",13.36724393,0.221582096,0.601911068,0.369303494,0.812467686,8.597012543,1,51662,11.3,10.4,33.4,13462,1
"56",542,13313,"GA","Whitfield",22.63208931,0.212474165,1.212683297,0.791949161,0.560159162,16.41494763,1,45921,15.3,13.2,33.5,102599,1
"57",2178,40093,"OK","Major",18.05677614,0.387096774,1.158003088,0.258064516,0.516129032,15.51297406,0,55020,10.8,11.6,31.6,7527,1
"58",2672,48297,"TX","Live Oak",10.24399708,0.16541229,0.99535501,0.744355306,1.240592176,13.51433657,0,53184,15.8,10.8,27.6,11531,1
"59",788,18181,"IN","White",15.67980192,0.122684333,0.944483798,0.736105999,0.858790332,10.90555134,0,50370,10.9,14.5,34.7,24643,1
"60",190,6007,"CA","Butte",21.18106548,0.205136438,0.90215577,0.66446368,0.62432829,10.96172519,1,45369,21.4,10.2,25.9,220000,1
"61",1839,36021,"NY","Columbia",14.67200176,0.35414185,1.048003192,0.595602202,1.142912334,15.01708585,0,58335,13.6,10.6,25,63096,1
"62",2019,38057,"ND","Mercer",18.61227908,0.343013949,0.690131125,0.571689915,0.914703865,7.195442455,0,75698,7.2,11.9,31.8,8424,1
